food_class,drug_category,has_interaction,severity,interaction_type,mechanism,matched_ingredients,source
apel,antikoagulan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
apel,antidiabetes,1,5,pharmacodynamic,"Kandungan gula tinggi (kental manis, madu, honey) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",kental manis|madu|honey,LLM-assisted curation (Claude) + pharmacology literature
apel,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
apel,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
apel,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
apel,antibiotik_tetrasiklin,1,4,pharmacokinetic,"Kalsium dalam kental manis membentuk kompleks chelat dengan tetrasiklin yang tidak dapat diabsorpsi, mengurangi bioavailabilitas antibiotik 50-80%",kental manis,LLM-assisted curation (Claude) + pharmacology literature
apel,antibiotik_fluorokuinolon,1,4,pharmacokinetic,"Kation divalen (Ca2+, Mg2+) dalam kental manis membentuk chelat dengan fluorokuinolon, mengurangi absorpsi dan efektivitas antibiotik",kental manis,LLM-assisted curation (Claude) + pharmacology literature
apel,maoi,1,2,pharmacodynamic,"Tyramine dalam makanan fermentasi (cuka) tidak dapat dimetabolisme saat MAO diinhibisi, menyebabkan pelepasan norepinefrin masif dan krisis hipertensi",cuka,LLM-assisted curation (Claude) + pharmacology literature
apel,tiroid,1,3,pharmacokinetic,"Isoflavon kedelai dan/atau kalsium dalam kental manis mengganggu absorpsi levothyroxine di saluran cerna, mengurangi efektivitas terapi tiroid",kental manis,LLM-assisted curation (Claude) + pharmacology literature
apel,nsaid,1,3,pharmacodynamic,Asam dalam cuka memperburuk iritasi dan erosi mukosa lambung yang sudah diinduksi oleh penghambatan COX oleh NSAID,cuka,LLM-assisted curation (Claude) + pharmacology literature
apel,antikonvulsan,1,3,pharmacokinetic,"Kalsium dan protein dalam kental manis membentuk kompleks dengan antikonvulsan, mengubah laju absorpsi dan kadar plasma obat",kental manis,LLM-assisted curation (Claude) + pharmacology literature
apel,glikosida_jantung,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
apel,xantin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
apel,imunosupresan,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
asinan-jakarta,antikoagulan,1,3,pharmacodynamic,"Vitamin K dan/atau senyawa antiplatelet dalam bawang putih mengganggu efek antikoagulan, meningkatkan risiko perdarahan atau mengurangi efektivitas obat",bawang putih,LLM-assisted curation (Claude) + pharmacology literature
asinan-jakarta,antidiabetes,1,4,pharmacodynamic,"Kandungan gula tinggi (gula pasir, gula merah) meningkatkan kadar glukosa darah, mengurangi efektivitas obat antidiabetes dan mengganggu kontrol glikemik",gula pasir|gula merah,LLM-assisted curation (Claude) + pharmacology literature
asinan-jakarta,ace_arb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
asinan-jakarta,ccb,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
asinan-jakarta,statin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
asinan-jakarta,antibiotik_tetrasiklin,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
asinan-jakarta,antibiotik_fluorokuinolon,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
asinan-jakarta,maoi,1,2,pharmacodynamic,"Tyramine dalam makanan fermentasi (cuka) tidak dapat dimetabolisme saat MAO diinhibisi, menyebabkan pelepasan norepinefrin masif dan krisis hipertensi",cuka,LLM-assisted curation (Claude) + pharmacology literature
asinan-jakarta,tiroid,0,0,,,,LLM-assisted curation (Claude) + pharmacology literature
asinan-jakarta,nsaid,1,3,pharmacodynamic,Asam dalam cuka memperburuk iritasi dan erosi mukosa lambung yang sudah diinduksi oleh penghambatan COX oleh NSAID,cuka,LLM-assisted curation (Claude) + pharmacology literature
