lookup_name,lookup_name_norm,drug_category,lookup_type,match_pattern,source,nomor_registrasi,zat_aktif
A-B VASK 10,A B VASK 10,ccb,product,AMLODIPINE,curated_rule,DKL0813313810B1,AMLODIPINE BESILATE
A-B VASK 5,A B VASK 5,ccb,product,AMLODIPINE,curated_rule,DKL0813313810A1,AMLODIPINE BESILATE
ACARBOSE,ACARBOSE,antidiabetes,active_alias,ACARBOSE,curated_rule,,ACARBOSE
ACARBOSE,ACARBOSE,antidiabetes,product,ACARBOSE,curated_rule,GKL1105045110A1 | GKL1431536510A1 | GKL1431536510B1 | GKL2133552310A1 | GKL2133552310B1 | GKL2244405010B1,ACARBOSE
ACEPRESS,ACEPRESS,ace_arb,product,CAPTOPRIL,curated_rule,DKL8502310410A1 | DKL9502310410B1,CAPTOPRIL
ACETAMINOPHEN + CAFFEINE ANHYDROUS,ACETAMINOPHEN CAFFEINE ANHYDROUS,xantin,product,CAFFEINE,curated_rule,LKE14147023,PARACETAMOL. CAFFEINE
ACETYLSALICYLIC,ACETYLSALICYLIC,nsaid,active_alias,ACETYLSALICYLIC,curated_rule,,ACETYLSALICYLIC
ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,nsaid,product,ACETYLSALICYLIC,curated_rule,GKL1919933715A1 | GKL2544411915A1,ACETYLSALICYLIC ACID
ACLONAC,ACLONAC,nsaid,product,DICLOFENAC,curated_rule,DTL1021634228A1,DICLOFENAC DIETHYLAMINE
ACLONAC 25,ACLONAC 25,nsaid,product,DICLOFENAC,curated_rule,DKL0621632117A1 | DKL2440409417A1,DICLOFENAC POTASSIUM
ACLONAC 50,ACLONAC 50,nsaid,product,DICLOFENAC,curated_rule,DKL2440409417B1,DICLOFENAC POTASSIUM
ACLONAC COOL,ACLONAC COOL,nsaid,product,DICLOFENAC,curated_rule,DTL2240408128A1,DICLOFENAC DIETHYLAMINE
ACNOPAIN 120,ACNOPAIN 120,nsaid,product,ETORICOXIB,curated_rule,DKL2305519517A1,ETORICOXIB
ACNOPAIN 60,ACNOPAIN 60,nsaid,product,ETORICOXIB,curated_rule,DKL2305519517C1,ETORICOXIB
ACNOPAIN 90,ACNOPAIN 90,nsaid,product,ETORICOXIB,curated_rule,DKL2305519517B1,ETORICOXIB
ACRIOS,ACRIOS,antidiabetes,product,ACARBOSE,curated_rule,DKL1205516010A1 | DKL1205516010B1,ACARBOSE
ACTAPIN 10,ACTAPIN 10,ccb,product,AMLODIPINE,curated_rule,DKL1005515210B1,AMLODIPINE BESILATE
ACTAPIN 5,ACTAPIN 5,ccb,product,AMLODIPINE,curated_rule,DKL1005515210A1,AMLODIPINE BESILATE
ACTOS,ACTOS,antidiabetes,product,PIOGLITAZONE,curated_rule,DKL0125102110A1 | DKL0125102110B1,PIOGLITAZONE HYDROCHLORIDE
ACTRAPID HM PENFILL,ACTRAPID HM PENFILL,antidiabetes,product,INSULIN,curated_rule,DKI1742000543A1,INSULIN HUMAN
ACTREL,ACTREL,nsaid,product,CELECOXIB,curated_rule,DKL2140406201A1 | DKL2140406201B1,CELECOXIB
ACUVAIL,ACUVAIL,nsaid,product,KETOROLAC,curated_rule,DKI2087400846A1,KETOROLAC TROMETAMOL
ADALAT OROS,ADALAT OROS,ccb,product,NIFEDIPINE,curated_rule,DKL1802009414B1,NIFEDIPINE
ADECCO,ADECCO,antidiabetes,product,METFORMIN,curated_rule,DKL1821647404A1,METFORMIN HYDROCHLORIDE
ADECCO XR,ADECCO XR,antidiabetes,product,METFORMIN,curated_rule,DKL1421643906A1,METFORMIN HYDROCHLORIDE
AFIBRAMOL EXTRA,AFIBRAMOL EXTRA,xantin,product,CAFFEINE,curated_rule,DBL2601712704A1 | DBL2601712704A2,CAFFEINE
AFITAMOL EXTRA,AFITAMOL EXTRA,xantin,product,CAFFEINE,curated_rule,DBL2301605510A1,CAFFEINE
AKILEN,AKILEN,antibiotik_fluorokuinolon,product,OFLOXACIN,curated_rule,DKL1022247948A1 | DKL2022258546A1,OFLOXACIN
AKILEN 200,AKILEN 200,antibiotik_fluorokuinolon,product,OFLOXACIN,curated_rule,DKL9222213017A1,OFLOXACIN
AKILEN 400,AKILEN 400,antibiotik_fluorokuinolon,product,OFLOXACIN,curated_rule,DKL9522213017B1,OFLOXACIN
AKNIL,AKNIL,nsaid,product,IBUPROFEN,curated_rule,DTL9731804009A1,IBUPROFEN | IBUPROFEN. PARACETAMOL
ALAXAN,ALAXAN,nsaid,product,IBUPROFEN,curated_rule,LKE13147017,PARACETAMOL. IBUPROFEN
ALAXAN FR,ALAXAN FR,nsaid,product,IBUPROFEN,curated_rule,DTL2604533101A1 | LKE13147019,IBUPROFEN | PARACETAMOL. IBUPROFEN
ALIF 500,ALIF 500,nsaid,product,NAPROXEN,curated_rule,DKL1222721904A1,NAPROXEN SODIUM
ALLOGON,ALLOGON,nsaid,product,MEFENAMIC,curated_rule,DKL9213007409A1,MEFENAMIC ACID
ALPENTIN,ALPENTIN,antikonvulsan,product,GABAPENTIN,curated_rule,DKL0805514101B1,GABAPENTIN
AMADIAB - 1,AMADIAB 1,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL0413312404A2,GLIMEPIRIDE
AMADIAB - 2,AMADIAB 2,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL0413312404B2,GLIMEPIRIDE
AMADIAB - 3,AMADIAB 3,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL0413312404C2,GLIMEPIRIDE
AMADIAB - 4,AMADIAB 4,antidiabetes,product,GLIMEPIRIDE,curated_rule,DKL0413312404D2,GLIMEPIRIDE
AMCOR,AMCOR,ccb,product,AMLODIPINE,curated_rule,DKL0715808010A1,AMLODIPINE BESILATE
AMIDAFLAM 50,AMIDAFLAM 50,nsaid,product,DICLOFENAC,curated_rule,DKL2138600917A1,DICLOFENAC POTASSIUM
