Nomor Registrasi,Nama Produk,product_name_norm,Zat_Aktif,zat_aktif_norm,drug_category,match_pattern,match_type,source
DKL0813313810B1,A-B VASK 10,A B VASK 10,AMLODIPINE BESILATE,AMLODIPINE BESILATE,ccb,AMLODIPINE,token_substring,curated_rule
DKL0813313810A1,A-B VASK 5,A B VASK 5,AMLODIPINE BESILATE,AMLODIPINE BESILATE,ccb,AMLODIPINE,token_substring,curated_rule
GKL1105045110A1,ACARBOSE,ACARBOSE,ACARBOSE,ACARBOSE,antidiabetes,ACARBOSE,token_substring,curated_rule
GKL1431536510A1,ACARBOSE,ACARBOSE,ACARBOSE,ACARBOSE,antidiabetes,ACARBOSE,token_substring,curated_rule
GKL1431536510B1,ACARBOSE,ACARBOSE,ACARBOSE,ACARBOSE,antidiabetes,ACARBOSE,token_substring,curated_rule
GKL2133552310A1,ACARBOSE,ACARBOSE,ACARBOSE,ACARBOSE,antidiabetes,ACARBOSE,token_substring,curated_rule
GKL2133552310B1,ACARBOSE,ACARBOSE,ACARBOSE,ACARBOSE,antidiabetes,ACARBOSE,token_substring,curated_rule
GKL2244405010B1,ACARBOSE,ACARBOSE,ACARBOSE,ACARBOSE,antidiabetes,ACARBOSE,token_substring,curated_rule
DKL8502310410A1,ACEPRESS,ACEPRESS,CAPTOPRIL,CAPTOPRIL,ace_arb,CAPTOPRIL,token_substring,curated_rule
DKL9502310410B1,ACEPRESS,ACEPRESS,CAPTOPRIL,CAPTOPRIL,ace_arb,CAPTOPRIL,token_substring,curated_rule
LKE14147023,ACETAMINOPHEN + CAFFEINE ANHYDROUS,ACETAMINOPHEN CAFFEINE ANHYDROUS,PARACETAMOL. CAFFEINE,PARACETAMOL CAFFEINE,xantin,CAFFEINE,token_substring,curated_rule
GKL1919933715A1,ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,nsaid,ACETYLSALICYLIC,token_substring,curated_rule
GKL2544411915A1,ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,nsaid,ACETYLSALICYLIC,token_substring,curated_rule
DTL1021634228A1,ACLONAC,ACLONAC,DICLOFENAC DIETHYLAMINE,DICLOFENAC DIETHYLAMINE,nsaid,DICLOFENAC,token_substring,curated_rule
DKL0621632117A1,ACLONAC 25,ACLONAC 25,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,nsaid,DICLOFENAC,token_substring,curated_rule
DKL2440409417A1,ACLONAC 25,ACLONAC 25,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,nsaid,DICLOFENAC,token_substring,curated_rule
DKL2440409417B1,ACLONAC 50,ACLONAC 50,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,nsaid,DICLOFENAC,token_substring,curated_rule
DTL2240408128A1,ACLONAC COOL,ACLONAC COOL,DICLOFENAC DIETHYLAMINE,DICLOFENAC DIETHYLAMINE,nsaid,DICLOFENAC,token_substring,curated_rule
DKL2305519517A1,ACNOPAIN 120,ACNOPAIN 120,ETORICOXIB,ETORICOXIB,nsaid,ETORICOXIB,token_substring,curated_rule
DKL2305519517C1,ACNOPAIN 60,ACNOPAIN 60,ETORICOXIB,ETORICOXIB,nsaid,ETORICOXIB,token_substring,curated_rule
DKL2305519517B1,ACNOPAIN 90,ACNOPAIN 90,ETORICOXIB,ETORICOXIB,nsaid,ETORICOXIB,token_substring,curated_rule
DKL1205516010A1,ACRIOS,ACRIOS,ACARBOSE,ACARBOSE,antidiabetes,ACARBOSE,token_substring,curated_rule
DKL1205516010B1,ACRIOS,ACRIOS,ACARBOSE,ACARBOSE,antidiabetes,ACARBOSE,token_substring,curated_rule
DKL1005515210B1,ACTAPIN 10,ACTAPIN 10,AMLODIPINE BESILATE,AMLODIPINE BESILATE,ccb,AMLODIPINE,token_substring,curated_rule
DKL1005515210A1,ACTAPIN 5,ACTAPIN 5,AMLODIPINE BESILATE,AMLODIPINE BESILATE,ccb,AMLODIPINE,token_substring,curated_rule
DKL0125102110A1,ACTOS,ACTOS,PIOGLITAZONE HYDROCHLORIDE,PIOGLITAZONE HYDROCHLORIDE,antidiabetes,PIOGLITAZONE,token_substring,curated_rule
DKL0125102110B1,ACTOS,ACTOS,PIOGLITAZONE HYDROCHLORIDE,PIOGLITAZONE HYDROCHLORIDE,antidiabetes,PIOGLITAZONE,token_substring,curated_rule
DKI1742000543A1,ACTRAPID HM PENFILL,ACTRAPID HM PENFILL,INSULIN HUMAN,INSULIN HUMAN,antidiabetes,INSULIN,token_substring,curated_rule
DKL2140406201A1,ACTREL,ACTREL,CELECOXIB,CELECOXIB,nsaid,CELECOXIB,token_substring,curated_rule
DKL2140406201B1,ACTREL,ACTREL,CELECOXIB,CELECOXIB,nsaid,CELECOXIB,token_substring,curated_rule
DKI2087400846A1,ACUVAIL,ACUVAIL,KETOROLAC TROMETAMOL,KETOROLAC TROMETAMOL,nsaid,KETOROLAC,token_substring,curated_rule
DKL1802009414B1,ADALAT OROS,ADALAT OROS,NIFEDIPINE,NIFEDIPINE,ccb,NIFEDIPINE,token_substring,curated_rule
DKL1821647404A1,ADECCO,ADECCO,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,antidiabetes,METFORMIN,token_substring,curated_rule
DKL1421643906A1,ADECCO XR,ADECCO XR,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,antidiabetes,METFORMIN,token_substring,curated_rule
DBL2601712704A1,AFIBRAMOL EXTRA,AFIBRAMOL EXTRA,CAFFEINE,CAFFEINE,xantin,CAFFEINE,token_substring,curated_rule
DBL2601712704A2,AFIBRAMOL EXTRA,AFIBRAMOL EXTRA,CAFFEINE,CAFFEINE,xantin,CAFFEINE,token_substring,curated_rule
DBL2301605510A1,AFITAMOL EXTRA,AFITAMOL EXTRA,CAFFEINE,CAFFEINE,xantin,CAFFEINE,token_substring,curated_rule
DKL1022247948A1,AKILEN,AKILEN,OFLOXACIN,OFLOXACIN,antibiotik_fluorokuinolon,OFLOXACIN,token_substring,curated_rule
DKL2022258546A1,AKILEN,AKILEN,OFLOXACIN,OFLOXACIN,antibiotik_fluorokuinolon,OFLOXACIN,token_substring,curated_rule
DKL9222213017A1,AKILEN 200,AKILEN 200,OFLOXACIN,OFLOXACIN,antibiotik_fluorokuinolon,OFLOXACIN,token_substring,curated_rule
DKL9522213017B1,AKILEN 400,AKILEN 400,OFLOXACIN,OFLOXACIN,antibiotik_fluorokuinolon,OFLOXACIN,token_substring,curated_rule
DTL9731804009A1,AKNIL,AKNIL,IBUPROFEN,IBUPROFEN,nsaid,IBUPROFEN,token_substring,curated_rule
DTL9731804009A1,AKNIL,AKNIL,IBUPROFEN. PARACETAMOL,IBUPROFEN PARACETAMOL,nsaid,IBUPROFEN,token_substring,curated_rule
LKE13147017,ALAXAN,ALAXAN,PARACETAMOL. IBUPROFEN,PARACETAMOL IBUPROFEN,nsaid,IBUPROFEN,token_substring,curated_rule
DTL2604533101A1,ALAXAN FR,ALAXAN FR,IBUPROFEN,IBUPROFEN,nsaid,IBUPROFEN,token_substring,curated_rule
LKE13147019,ALAXAN FR,ALAXAN FR,PARACETAMOL. IBUPROFEN,PARACETAMOL IBUPROFEN,nsaid,IBUPROFEN,token_substring,curated_rule
DKL1222721904A1,ALIF 500,ALIF 500,NAPROXEN SODIUM,NAPROXEN SODIUM,nsaid,NAPROXEN,token_substring,curated_rule
DKL9213007409A1,ALLOGON,ALLOGON,MEFENAMIC ACID,MEFENAMIC ACID,nsaid,MEFENAMIC,token_substring,curated_rule
DKL0805514101B1,ALPENTIN,ALPENTIN,GABAPENTIN,GABAPENTIN,antikonvulsan,GABAPENTIN,token_substring,curated_rule
DKL0413312404A2,AMADIAB - 1,AMADIAB 1,GLIMEPIRIDE,GLIMEPIRIDE,antidiabetes,GLIMEPIRIDE,token_substring,curated_rule
