Nomor Registrasi,Nama Produk,product_name_norm,Zat_Aktif,zat_aktif_norm,reason
LKE24187011,0.9% SODIUM CHLORIDE USP FOR IRRIGATION,0 9 SODIUM CHLORIDE USP FOR IRRIGATION,SODIUM CHLORIDE,SODIUM CHLORIDE,no_curated_drug_category_match
GKL1412427843A1,131I-MIBG,131I MIBG,METAIODOBENZYLGUANIDINE HEMYSULFATE. SODIUM IODIDE I 131 SOLUTION,METAIODOBENZYLGUANIDINE HEMYSULFATE SODIUM IODIDE I 131 SOLUTION,no_curated_drug_category_match
GKL1612428843A1,153SM-EDTMP,153SM EDTMP,SAMARIUM (III) CHLORIDE. ETHYLENE DIAMINE TETRA METHYL PHOSPHONATE,SAMARIUM III CHLORIDE ETHYLENE DIAMINE TETRA METHYL PHOSPHONATE,no_curated_drug_category_match
LKE15187005,25% DEXTROSE INJECTION BP,25 DEXTROSE INJECTION BP,DEXTROSE ANHYDRATE,DEXTROSE ANHYDRATE,no_curated_drug_category_match
DKI1833900417A1,3TC,3TC,LAMIVUDINE,LAMIVUDINE,no_curated_drug_category_match
DKI1733900317A1,3TC-HBV,3TC HBV,LAMIVUDINE,LAMIVUDINE,no_curated_drug_category_match
DTL1138501041A1,A-BE LOTION,A BE LOTION,KETOCONAZOLE,KETOCONAZOLE,no_curated_drug_category_match
DKI2025600709A1,ABACAVEX,ABACAVEX,ABACAVIR SULFATE,ABACAVIR SULFATE,no_curated_drug_category_match
GKL2012431917A1,ABACAVIR SULFATE,ABACAVIR SULFATE,ABACAVIR SULFATE,ABACAVIR SULFATE,no_curated_drug_category_match
DBL9818209901A1,ABAJOS,ABAJOS,PARACETAMOL. THIAMINE HYDROCHLORIDE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN,PARACETAMOL THIAMINE HYDROCHLORIDE PYRIDOXINE HYDROCHLORIDE CYANOCOBALAMIN,no_curated_drug_category_match
DKL0800202238B1,ABBOTIC,ABBOTIC,CLARITHROMYCIN,CLARITHROMYCIN,no_curated_drug_category_match
