Kelas_YOLO,Bahan_Penyusun
nasi-goreng,"bawang putih, bawang merah, telur, kecap manis, saus tiram, daun bawang, lada bubuk, kecap asin, nasi putih, lada"
rendang,"bawang putih, bawang merah, serai, daun salam, daun jeruk, santan, lengkuas, jahe, daging sapi, kemiri, daun kunyit, ketumbar"
soto-ayam,"bawang putih, bawang merah, serai, daun jeruk, daun salam, jahe, daun bawang, kemiri, bawang goreng, jeruk nipis, kunyit, ayam, lada bubuk, seledri, lengkuas"
gado-gado,"bawang putih, gula merah, telur rebus, kacang tanah, kentang, timun, wortel, kacang panjang, tauge, cabai rawit, kecap manis, daun jeruk, tahu goreng"
bakso,"bawang putih, bawang merah, saus tiram, bakso, lada bubuk, daun bawang, kecap manis, wortel, lada, gula pasir, telur"
mie-goreng,"bawang putih, bawang merah, telur, kecap manis, lada bubuk, saus tiram, daun bawang, kemiri, kecap asin, wortel"
asinan-jakarta,"gula merah, kacang tanah goreng, gula pasir, kol, wortel, cuka, tauge, bawang putih, cabai rawit, toge, ebi sangrai, asam jawa, cabai merah besar, kacang tanah, daun selada"
ayam-betutu,"bawang putih, bawang merah, serai, kunyit, kemiri, cabai rawit, terasi, jahe, daun jeruk, kencur, lengkuas, lada, ketumbar, ayam, daun salam"
ayam-bumbu-rujak,"bawang putih, bawang merah, daun jeruk, kemiri, serai, daun salam, santan, jahe, cabai merah keriting, lengkuas, kunyit, lada bubuk, cabai merah, cabai rawit, cabai rawit merah"
ayam-goreng-lengkuas,"bawang putih, bawang merah, serai, daun salam, daun jeruk, ayam, kemiri, lengkuas, lengkuas muda, kunyit, jahe, ketumbar, lada bubuk, lada, telur"
bika-ambon,"santan, gula pasir, tepung terigu, tepung tapioka, ragi, daun jeruk, telur, susu kental manis, margarin, daun pandan, serai, kunyit bubuk, butter"
bir-pletok,"kayu secang, kapulaga, jahe, cengkeh, serai, daun pandan, kayu manis, gula pasir, lada hitam, bunga lawang, daun jeruk, cengkih, pala, kayumanis, lada"
bubur-manado,"serai, daun salam, labu kuning, kangkung, daun jeruk, bayam, daun kemangi, bawang putih, kemangi, lada, jagung, jagung manis, bawang merah, daun bawang, jagung manis pipil"
cendol,"daun pandan, gula pasir, susu kental manis, santan, tepung tapioka, tepung beras, gula aren, tepung maizena, gula merah"
es-dawet,"daun pandan, santan, gula pasir, susu kental manis, gula merah, dawet, tepung beras, gula aren, selasih, tepung tapioka"
gudeg,"bawang merah, bawang putih, daun salam, nangka muda, santan, kemiri, ketumbar, telur, serai, lengkuas, jahe, ayam, gula merah, daun singkong, daun jeruk"
gulai-ikan-mas,"serai, bawang putih, bawang merah, jahe, kunyit, daun salam, daun jeruk, daun kunyit, lengkuas, asam kandis, kemiri, cabai rawit merah, ikan mas, santan, kaldu jamur"
kerak-telor,"bawang goreng, telur, gula pasir, kelapa, kencur, ebi, beras ketan, cabai merah besar, bawang merah, jahe, cabai merah keriting, serundeng kelapa"
klappertart,"telur, gula pasir, kismis, tepung maizena, susu kental manis, tepung terigu, daging kelapa muda, susu cair, kayu manis bubuk, air kelapa muda, kelapa muda, margarin, tepung custard, bubuk kayu manis, susu full cream / uht"
kolak,"daun pandan, gula pasir, santan, gula merah, labu kuning, ubi jalar, gula aren, pisang kepok"
kue-lumpur,"tepung terigu, telur, gula pasir, santan, vanili, margarin"
kunyit-asam,"kunyit, gula pasir, asam jawa, gula merah, gula aren, asam, kunyit bubuk, serai, jahe"
laksa-bogor,"serai, daun salam, bawang putih, bawang merah, telur rebus, bihun, kunyit, daun bawang, kemiri, daun kemangi, gula pasir, ketumbar, bawang goreng, lengkuas, lada bubuk"
lumpia-semarang,"bawang putih, gula pasir, kecap manis, bawang merah, cabai rawit, gula merah, tepung terigu, lada bubuk, tepung maizena, cuka, mentimun, minyak sayur, saus tiram, tepung beras, rebung"
mie-aceh,"bawang merah, kecap manis, bawang putih, gula pasir, bubuk kari, tomat, cabai merah keriting, sosis, spaghetti, kemiri sangrai, udang, kol, daun bawang, kecap asin, kemiri"
nagasari,"gula pasir, santan, tepung beras, tepung tapioka, susu kental manis, daun pandan, tepung maizena, pasta pandan, daun pisang"
papeda,"tepung tapioka, bawang putih, bawang merah, gula pasir, telur, serai, gula merah"
